policy,page_kb,physical_kb,total_accesses,page_faults,disk_writes,fault_rate,log_file
lru,4,128,10,8,0,80.00,logs/run_lru_4kb_128kb.log
lru,4,256,10,8,0,80.00,logs/run_lru_4kb_256kb.log
lru,4,512,10,8,0,80.00,logs/run_lru_4kb_512kb.log
lru,4,1024,10,8,0,80.00,logs/run_lru_4kb_1024kb.log
lru,4,2048,10,8,0,80.00,logs/run_lru_4kb_2048kb.log
lru,8,128,10,5,0,50.00,logs/run_lru_8kb_128kb.log
lru,8,256,10,5,0,50.00,logs/run_lru_8kb_256kb.log
lru,8,512,10,5,0,50.00,logs/run_lru_8kb_512kb.log
lru,8,1024,10,5,0,50.00,logs/run_lru_8kb_1024kb.log
lru,8,2048,10,5,0,50.00,logs/run_lru_8kb_2048kb.log
lru,16,128,10,4,0,40.00,logs/run_lru_16kb_128kb.log
lru,16,256,10,4,0,40.00,logs/run_lru_16kb_256kb.log
lru,16,512,10,4,0,40.00,logs/run_lru_16kb_512kb.log
lru,16,1024,10,4,0,40.00,logs/run_lru_16kb_1024kb.log
lru,16,2048,10,4,0,40.00,logs/run_lru_16kb_2048kb.log
fifo,4,128,10,8,0,80.00,logs/run_fifo_4kb_128kb.log
fifo,4,256,10,8,0,80.00,logs/run_fifo_4kb_256kb.log
fifo,4,512,10,8,0,80.00,logs/run_fifo_4kb_512kb.log
fifo,4,1024,10,8,0,80.00,logs/run_fifo_4kb_1024kb.log
fifo,4,2048,10,8,0,80.00,logs/run_fifo_4kb_2048kb.log
fifo,8,128,10,5,0,50.00,logs/run_fifo_8kb_128kb.log
fifo,8,256,10,5,0,50.00,logs/run_fifo_8kb_256kb.log
fifo,8,512,10,5,0,50.00,logs/run_fifo_8kb_512kb.log
fifo,8,1024,10,5,0,50.00,logs/run_fifo_8kb_1024kb.log
fifo,8,2048,10,5,0,50.00,logs/run_fifo_8kb_2048kb.log
fifo,16,128,10,4,0,40.00,logs/run_fifo_16kb_128kb.log
fifo,16,256,10,4,0,40.00,logs/run_fifo_16kb_256kb.log
fifo,16,512,10,4,0,40.00,logs/run_fifo_16kb_512kb.log
fifo,16,1024,10,4,0,40.00,logs/run_fifo_16kb_1024kb.log
fifo,16,2048,10,4,0,40.00,logs/run_fifo_16kb_2048kb.log
random,4,128,10,8,0,80.00,logs/run_random_4kb_128kb.log
random,4,256,10,8,0,80.00,logs/run_random_4kb_256kb.log
random,4,512,10,8,0,80.00,logs/run_random_4kb_512kb.log
random,4,1024,10,8,0,80.00,logs/run_random_4kb_1024kb.log
random,4,2048,10,8,0,80.00,logs/run_random_4kb_2048kb.log
random,8,128,10,5,0,50.00,logs/run_random_8kb_128kb.log
random,8,256,10,5,0,50.00,logs/run_random_8kb_256kb.log
random,8,512,10,5,0,50.00,logs/run_random_8kb_512kb.log
random,8,1024,10,5,0,50.00,logs/run_random_8kb_1024kb.log
random,8,2048,10,5,0,50.00,logs/run_random_8kb_2048kb.log
random,16,128,10,4,0,40.00,logs/run_random_16kb_128kb.log
random,16,256,10,4,0,40.00,logs/run_random_16kb_256kb.log
random,16,512,10,4,0,40.00,logs/run_random_16kb_512kb.log
random,16,1024,10,4,0,40.00,logs/run_random_16kb_1024kb.log
random,16,2048,10,4,0,40.00,logs/run_random_16kb_2048kb.log
